"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
38687,1,4,5.000,55.8
38779,0,4,4.700,60.8
38854,1,4,0.700,71.0
38884,1,7,2.700,92.8
39040,0,3,1.700,58.4
39223,0,6,3.9,90.5
39230,0,5,4.500,81.4
39327,0,7,4.700,64.3
39385,0,4,2.800,57.0
39425,0,0,4.3,8.8
39676,0,3,3.100,46.6
39681,0,6,3.300,103.0
39722,0,2,2.300,29.5
39965,0,2,1.3,56.2
40087,2,4,1.3,95.2
40326,0,3,6.500,35.5
40585,0,4,6.200,59.3
40896,2,7,2.000,83.6
41368,1,4,3.100,60.2
41381,0,8,5.100,94.9
41384,0,5,5.700,67.3
41385,0,4,-0.5,85.0
41428,1,4,3.0,59.4
41463,0,5,6.6,77.4
41632,1,2,3.700,38.3
41648,1,3,1.6,58.4
42504,0,4,2.600,59.8
42586,0,4,1.600,55.8
42614,2,5,0.7,104.0
42807,1,4,2.900,57.6
42850,0,3,2.7,46.6
43079,0,5,3.200,20.3
43226,1,3,3.600,46.0
43233,0,4,2.300,49.2
43234,0,4,3.500,49.2
43359,0,3,3.1,42.7
44073,1,8,3.000,92.4
44178,0,3,3.300,54.8
44465,0,8,6.2,94.9
47326,0,4,5.700,59.3
47445,2,6,5.600,67.4
47491,2,7,2.3,132.0
47759,0,6,4.700,93.6
47866,3,6,-0.200,103.0
47898,1,5,3.700,38.3
48132,0,4,8.000,59.3
49384,0,2,2.7,38.1
50367,0,3,3.8,61.2
50465,2,6,1.8,85.4
50590,0,3,2.5,46.6
50895,1,8,4.2,68.6
50980,0,7,6.200,68.6
51369,0,3,3.400,46.6
51556,1,9,2.400,127.0
51574,0,5,2.700,72.9
51605,1,4,4.300,56.8
52999,2,9,1.5,158.0
53309,1,3,3.800,50.9
53597,3,5,"",104.0
53735,0,4,1.8,59.1
54382,0,9,5.4,26.3
54738,2,5,1.2,91.6
54739,2,5,2.5,91.6
54740,2,5,2.0,91.6
54778,0,2,2.5,29.5
54886,0,7,4.200,93.6
54901,0,5,6.000,26.3
55790,0,3,2.500,34.5
58167,0,0,5.6,0.0
61021,0,4,1.100,36.9
61103,0,0,4.5,0.0
61546,0,2,"",0.0
61899,0,2,5.800,12.5
61906,0,1,"",0.0
61938,1,5,-0.1,93.2
62020,0,2,3.9,45.6
62155,0,9,1.700,160.0
62210,0,9,5.2,94.9
62276,0,10,4.100,108.0
62306,0,2,2.8,29.5
62389,2,4,2.100,66.5
62581,0,1,"",0.0
62773,0,4,1.3,44.8
65174,8,11,-6.7,221.0
65420,1,7,0.0,83.4
66461,1,3,3.700,50.9
69985,0,3,"",68.9
71245,0,3,7.000,27.7
71482,0,7,1.0,103.0
71777,2,11,6.400,67.4
71853,29,47,-21.4,808.0
73281,2,9,0.6,161.0
73282,2,8,2.3,141.0
73665,0,3,4.600,47.4
73668,1,7,3.3,55.2
73669,0,1,4.700,12.5
73670,0,4,3.200,51.6
73671,1,3,3.200,50.9
73672,1,5,3.9,73.6
73674,2,10,1.6,186.0
73675,0,4,"",30.7
75778,0,2,16.3,26.3
77338,0,2,4.200,25.8
78458,2,3,2.600,66.4
79241,1,2,1.4,45.5
80277,0,7,4.4,39.9
81769,0,2,4.0,26.3
83975,0,4,4.700,63.7
84098,0,8,2.4,85.6
85543,0,2,4.8,26.3
85712,1,1,3.4,20.2
85734,1,1,3.2,20.2
86102,1,3,3.700,50.9
86122,0,8,4.600,92.1
86132,1,3,2.900,50.9
86134,1,6,3.400,81.8
86137,2,6,0.9,101.0
86138,0,3,3.200,54.5
86160,0,3,4.2,21.7
86173,0,5,4.000,58.4
86175,0,7,4.300,79.8
86210,1,3,3.7,50.9
86211,1,3,4.1,50.9
86222,0,7,4.0,62.2
86233,1,3,3.1,50.9
86268,1,8,4.4,100.0
86296,1,3,3.3,37.8
86298,0,4,3.9,48.0
86306,0,6,2.7,103.0
86309,2,6,6.100,79.8
86353,1,9,4.6,83.0
86354,1,2,4.500,46.9
86355,2,11,0.3,189.0
86356,0,3,5.700,35.0
86367,1,3,3.1,37.8
86369,1,7,2.3,90.5
86398,1,5,2.6,58.0
86412,0,5,2.3,96.4
86417,0,5,4.0,63.4
86422,1,8,3.2,116.0
86426,2,10,1.9,188.0
86429,0,9,3.6,83.6
86443,2,8,1.6,145.0
87176,0,7,3.400,139.0
88916,1,3,2.9,70.2
89594,0,2,1.200,16.1
90590,1,2,2.2,42.2
90756,1,3,3.400,57.6
91466,0,2,1.6,23.6
91587,0,4,1.400,64.1
91596,1,6,-0.2,129.0
91612,1,4,2.600,74.2
91625,0,10,6.4,65.6
91627,1,3,2.900,57.6
91634,0,2,"",30.7
91644,0,2,4.100,29.5
91650,1,3,2.9,37.8
91655,0,4,4.6,59.8
91656,1,4,4.200,60.2
91664,0,4,4.7,59.8
91665,0,1,1.600,20.3
91673,0,4,3.000,49.2
91677,0,4,3.400,20.3
91679,0,2,3.6,45.6
91683,1,4,2.200,46.0
91687,0,5,3.800,96.2
91692,1,1,4.800,32.3
91693,0,2,4.4,30.7
91694,0,1,5.5,3.2
91699,0,6,4.0,39.4
91701,1,8,2.900,68.6
91708,2,9,6.7,80.3
91715,0,7,4.5,67.4
91716,0,4,3.200,70.7
91724,1,1,4.300,39.6
91727,1,5,2.300,50.9
91731,1,12,6.0,117.0
91733,1,8,2.900,68.6
91734,2,6,4.900,58.2
91735,1,8,4.6,51.2
91739,1,3,3.0,50.2
91740,0,2,4.600,45.6
91741,2,9,5.700,67.4
91742,1,4,2.800,56.8
91744,0,3,2.6,57.8
91749,1,3,2.7,50.2
91751,2,10,3.4,132.0
91752,0,4,3.3,76.9
91753,0,4,4.8,40.6
91754,0,3,5.2,58.0
91755,1,6,4.5,38.3
91756,3,10,1.8,170.0
91757,0,10,4.8,97.6
91758,0,5,2.0,97.2
91759,1,8,1.6,97.6
91760,0,5,1.5,93.7
91762,3,8,2.000,156.0
91766,2,9,6.3,67.4
91768,1,8,7.7,71.4
91770,2,5,1.6,91.6
91771,1,3,8.3,62.6
91772,2,9,0.9,160.0
91773,1,2,3.900,49.4
91774,3,13,3.3,165.0
91776,0,10,3.9,76.8
91777,2,10,-0.2,174.0
91778,0,5,4.5,38.0
91779,2,10,0.7,183.0
92299,0,1,3.4,20.3
92316,1,3,2.4,41.5
